startTime,endTime,energy
0,0,-0.0
1,1,-0.0
2,2,-0.0
3,3,-0.0
4,4,-0.0
5,5,-0.0
6,6,-0.0
7,7,-0.0
8,8,-0.0
9,9,-0.0
10,10,-0.0
11,11,-0.0
12,12,-0.0
13,13,-0.0
14,14,-0.0
15,15,-0.0
16,16,-0.0
17,17,-0.0
18,18,-0.0
19,19,-0.0
20,20,-0.0
21,21,-0.0
22,22,-0.0
23,23,-0.0
24,24,0.0018776819062311335
25,25,0.011348919020451332
26,26,0.029416627103633332
27,27,0.05827377205432001
28,28,0.10550740617533999
29,29,0.16540122944133334
30,30,0.22556135593740004
31,31,0.31563528649233324
32,32,0.5115668626854
33,33,0.7507909196884
34,34,1.0351076122276
35,35,1.3489149139426668
36,36,1.6750454145320002
37,37,1.9940086016739997
38,38,2.3006172413980006
39,39,2.5935169864720007
40,40,2.9197247183279997
41,41,3.2526554068173326
42,42,3.5076390838840004
43,43,3.670626979771333
44,44,3.5384657599106664
45,45,3.2087289624166666
46,46,3.0006710414219997
47,47,2.948634443863333
48,48,3.363324503694
49,49,4.087993854092667
50,50,4.665684601032667
51,51,5.076285926787999
52,52,5.136283043830001
53,53,4.950143084882001
54,54,4.787407050123335
55,55,4.650141808709999
56,56,4.558513856589999
57,57,4.497667112447333
58,58,4.434608442646667
59,59,4.367589922542668
60,60,4.326519654106667
61,61,4.283375364355333
62,62,4.186368847998
63,63,4.0395447196420005
64,64,3.829290984321333
65,65,3.579119723480667
66,66,3.3236829678986664
67,67,3.0632730433973334
68,68,2.8152842918146668
69,69,2.5644997387586668
70,70,2.286286381572
71,71,1.9876138677360002
72,72,1.6769491367246665
73,73,1.35892371545
74,74,1.0417429007073336
75,75,0.7381148125462001
76,76,0.5061505890482667
77,77,0.4448885323555334
78,78,0.39456447533320005
79,79,0.34148017082233334
80,80,0.2746875635370667
81,81,0.2016214797348667
82,82,0.1397641810134
83,83,0.08912551779899999
84,84,0.05527545292766667
85,85,0.03443931702335333
86,86,0.017739650382373334
87,87,0.005178395453583401
88,88,-0.0
89,89,-0.0
90,90,-0.0
91,91,-0.0
92,92,-0.0
93,93,-0.0
94,94,-0.0
95,95,-0.0
