Time,4/5,1/4,8/17,2/17,7/7,3/5,6/1,1/2,7/7
0:00,-3.9,-3.8,-3.7,-3.2,-3,-2.8,-2.6,0,0
0:15,-3.7,-3.6,-3.6,-3.1,-2.9,-2.7,-2.5,0,0
0:30,-3.6,-3.5,-3.5,-3,-2.7,-2.6,-2.4,0,0
0:45,-3.4,-3.4,-3.3,-2.9,-2.6,-2.5,-2.3,0,0
1:00,-3.3,-3.2,-3.2,-2.7,-2.5,-2.4,-2.2,0,0
1:15,-3.2,-3.1,-3.1,-2.6,-2.4,-2.3,-2.2,0,0
1:30,-3.1,-3,-3,-2.5,-2.3,-2.2,-2.1,0,0
1:45,-3,-2.9,-2.9,-2.5,-2.3,-2.2,-2,0,0
2:00,-2.9,-2.9,-2.8,-2.4,-2.2,-2.1,-2,0,0
2:15,-2.9,-2.8,-2.8,-2.4,-2.2,-2.1,-2,0,0
2:30,-2.9,-2.8,-2.8,-2.4,-2.2,-2.1,-2,0,0
2:45,-2.9,-2.8,-2.8,-2.4,-2.2,-2.1,-2,0,0
3:00,-2.9,-2.8,-2.8,-2.4,-2.2,-2.1,-2,0,0
3:15,-2.9,-2.8,-2.8,-2.4,-2.2,-2.1,-2,0,0
3:30,-2.9,-2.9,-2.8,-2.4,-2.2,-2.1,-2,0,0
3:45,-3,-3,-2.9,-2.5,-2.3,-2.2,-2.1,0,0
4:00,-3.2,-3.1,-3.1,-2.7,-2.5,-2.4,-2.2,0,0
4:15,-3.4,-3.3,-3.3,-2.8,-2.6,-2.5,-2.3,0,0
4:30,-3.6,-3.5,-3.5,-3,-2.8,-2.7,-2.5,0,0
4:45,-3.8,-3.7,-3.7,-3.2,-2.9,-2.8,-2.6,0,0
5:00,-3.9,-3.8,-3.7,-3.2,-3,-2.8,-2.6,0,0
5:15,-3.9,-3.8,-3.7,-3.2,-3,-2.8,-2.6,0,0
5:30,-3.8,-3.8,-3.7,-3.2,-3,-2.8,-2.6,0,0
5:45,-3.8,-3.7,-3.7,-3.2,-2.9,-2.8,-2.6,0,0
6:00,-3.9,-3.8,-3.7,-3.2,-3,-2.8,-2.6,0,0
6:15,-4,-3.9,-3.8,-3.3,-3,-2.9,-2.7,0,0
6:30,-4.1,-4,-4,-3.4,-3.1,-3,-2.8,0.2,0.1
6:45,-4.3,-4.2,-4.2,-3.6,-3.3,-3.2,-3,1.1,0.4
