startTime,endTime,energy
1,1,-3.7
2,2,-3.6
3,3,-3.5
4,4,-3.3
5,5,-3.2
6,6,-3.1
7,7,-3.0
8,8,-2.9
9,9,-2.8
10,10,-2.8
11,11,-2.8
12,12,-2.8
13,13,-2.8
14,14,-2.8
15,15,-2.8
16,16,-2.9
17,17,-3.1
18,18,-3.3
19,19,-3.5
20,20,-3.7
21,21,-3.7
22,22,-3.7
23,23,-3.7
24,24,-3.7
25,25,-3.7
26,26,-3.8
27,27,-4.0
28,28,-4.2
29,29,-4.5
30,30,-5.0
31,31,-5.5
32,32,-6.3
33,33,-7.2
34,34,-8.2
35,35,-9.1
36,36,-9.8
37,37,-10.2
38,38,-10.4
39,39,-10.4
40,40,-10.4
41,41,-10.5
42,42,-10.5
43,43,-10.6
44,44,-10.7
45,45,-10.8
46,46,-10.9
47,47,-10.9
48,48,-10.9
49,49,-10.7
50,50,-10.4
51,51,-10.1
52,52,-9.8
53,53,-9.4
54,54,-9.1
55,55,-8.8
56,56,-8.6
57,57,-8.5
58,58,-8.5
59,59,-8.6
60,60,-8.8
61,61,-9.0
62,62,-9.1
63,63,-9.3
64,64,-9.3
65,65,-9.3
66,66,-9.2
67,67,-9.1
68,68,-9.1
69,69,-9.0
70,70,-9.0
71,71,-8.9
72,72,-8.6
73,73,-8.2
74,74,-7.6
75,75,-7.0
76,76,-6.3
77,77,-5.7
78,78,-5.2
79,79,-4.9
80,80,-4.6
81,81,-4.6
82,82,-4.6
83,83,-4.7
84,84,-4.7
85,85,-4.7
86,86,-4.6
87,87,-4.5
88,88,-4.4
89,89,-4.3
90,90,-4.2
91,91,-4.2
92,92,-4.1
93,93,-4.1
94,94,-4.0
95,95,-4.0
96,96,-3.9
