startTime,endTime,energy
1,1,-30.0
2,2,-20.0
3,3,-20.0
4,4,-20.0
5,5,-20.0
6,6,-20.0
7,7,-20.0
8,8,-20.0
9,9,-20.0
10,10,-20.0
11,11,-20.0
12,12,-20.0
13,13,-10.0
14,14,-10.0
15,15,-10.0
16,16,-10.0
17,17,-10.0
18,18,-10.0
19,19,-20.0
20,20,-20.0
21,21,-20.0
22,22,-20.0
23,23,-20.0
24,24,-20.0
25,25,-20.0
26,26,-30.0
27,27,-30.0
28,28,-40.0
29,29,-40.0
30,30,-40.0
31,31,-40.0
32,32,-40.0
33,33,-40.0
34,34,-40.0
35,35,-40.0
36,36,-50.0
37,37,-50.0
38,38,-50.0
39,39,-40.0
40,40,-40.0
41,41,-40.0
42,42,-40.0
43,43,-40.0
44,44,-40.0
45,45,-40.0
46,46,-40.0
47,47,-40.0
48,48,-50.0
49,49,-50.0
50,50,-50.0
51,51,-50.0
52,52,-50.0
53,53,-50.0
54,54,-50.0
55,55,-50.0
56,56,-40.0
57,57,-40.0
58,58,-40.0
59,59,-40.0
60,60,-40.0
61,61,-40.0
62,62,-40.0
63,63,-40.0
64,64,-40.0
65,65,-40.0
66,66,-40.0
67,67,-40.0
68,68,-40.0
69,69,-40.0
70,70,-40.0
71,71,-40.0
72,72,-40.0
73,73,-40.0
74,74,-40.0
75,75,-50.0
76,76,-50.0
77,77,-50.0
78,78,-50.0
79,79,-50.0
80,80,-50.0
81,81,-50.0
82,82,-50.0
83,83,-50.0
84,84,-50.0
85,85,-50.0
86,86,-50.0
87,87,-50.0
88,88,-50.0
89,89,-50.0
90,90,-50.0
91,91,-40.0
92,92,-40.0
93,93,-40.0
94,94,-40.0
95,95,-30.0
96,96,-30.0
