startTime,endTime,energy
1,1,-40.0
2,2,-40.0
3,3,-30.0
4,4,-30.0
5,5,-30.0
6,6,-30.0
7,7,-30.0
8,8,-20.0
9,9,-20.0
10,10,-20.0
11,11,-20.0
12,12,-20.0
13,13,-20.0
14,14,-20.0
15,15,-20.0
16,16,-20.0
17,17,-20.0
18,18,-20.0
19,19,-20.0
20,20,-20.0
21,21,-30.0
22,22,-30.0
23,23,-30.0
24,24,-30.0
25,25,-40.0
26,26,-40.0
27,27,-50.0
28,28,-50.0
29,29,-60.0
30,30,-60.0
31,31,-60.0
32,32,-60.0
33,33,-70.0
34,34,-70.0
35,35,-70.0
36,36,-70.0
37,37,-70.0
38,38,-70.0
39,39,-70.0
40,40,-70.0
41,41,-70.0
42,42,-70.0
43,43,-70.0
44,44,-70.0
45,45,-70.0
46,46,-70.0
47,47,-70.0
48,48,-70.0
49,49,-70.0
50,50,-70.0
51,51,-80.0
52,52,-80.0
53,53,-80.0
54,54,-70.0
55,55,-70.0
56,56,-70.0
57,57,-70.0
58,58,-60.0
59,59,-60.0
60,60,-60.0
61,61,-60.0
62,62,-60.0
63,63,-60.0
64,64,-50.0
65,65,-50.0
66,66,-50.0
67,67,-50.0
68,68,-50.0
69,69,-60.0
70,70,-60.0
71,71,-60.0
72,72,-60.0
73,73,-60.0
74,74,-70.0
75,75,-70.0
76,76,-70.0
77,77,-80.0
78,78,-80.0
79,79,-80.0
80,80,-80.0
81,81,-80.0
82,82,-80.0
83,83,-80.0
84,84,-80.0
85,85,-80.0
86,86,-80.0
87,87,-70.0
88,88,-70.0
89,89,-70.0
90,90,-70.0
91,91,-70.0
92,92,-60.0
93,93,-60.0
94,94,-60.0
95,95,-50.0
96,96,-50.0
