from_coordinate,from_taz,to_coordinate,to_taz,departure_time
36.142427 -86.846199,4703700000223,36.143494 -86.811862,4703700000453,1516630863262
36.1246332 -86.7855888,4703700000470,36.145816 -86.799116,4703700000434,1516629924805
36.148231 -86.8027738999999,4703700000445,36.143494 -86.811862,4703700000453,1516633054722
36.148231 -86.8027738999999,4703700000445,36.140998 -86.813493,4703700000453,1516631676551
36.148231 -86.8027738999999,4703700000445,36.144672 -86.803064,4703700000445,1516631715714
36.1449174 -86.800417,4703700000445,36.143494 -86.811862,4703700000453,1516631012552
36.186531 -86.748689,4703700000174,36.140998 -86.813493,4703700000453,1516630931027
36.1440949 -86.8020902,4703700000445,36.145816 -86.799116,4703700000434,1516631216646
36.1479544 -86.8013598,4703700000445,36.140998 -86.813493,4703700000453,1516632533022
36.1479544 -86.8013598,4703700000445,36.140998 -86.813493,4703700000453,1516632428957
36.023444 -86.9876929,4703700000553,36.145816 -86.799116,4703700000434,1516632765724
36.1492525 -86.7990617999999,4703700000713,36.143494 -86.811862,4703700000453,1516631388626
36.083276 -86.890337,4703700000561,36.140998 -86.813493,4703700000453,1516631942048
36.083276 -86.890337,4703700000561,36.144672 -86.803064,4703700000445,1516632993044
36.102588 -86.981928,4703700000546,36.144672 -86.803064,4703700000445,1516632174394
36.102588 -86.981928,4703700000546,36.144672 -86.803064,4703700000445,1516633177576
36.1719852 -86.7923852999999,4703700000696,36.145816 -86.799116,4703700000434,1516631965748
36.1697476999999 -86.7438868,4703700000185,36.143494 -86.811862,4703700000453,1516630102103
36.180318 -86.584221,4703700000361,36.145816 -86.799116,4703700000434,1516633063534
36.114963 -86.870244,4703700000545,36.141969 -86.806068,4703700000448,1516631073444
36.114963 -86.870244,4703700000545,36.143494 -86.811862,4703700000453,1516631744387
36.1329009 -86.806687,4703700000460,36.140998 -86.813493,4703700000453,1516631539281
36.1338602999999 -86.8339479,4703700000457,36.141969 -86.806068,4703700000448,1516632208349
36.1338602999999 -86.8339479,4703700000457,36.143494 -86.811862,4703700000453,1516633035920
36.1338602999999 -86.8339479,4703700000457,36.141969 -86.806068,4703700000448,1516630392235
36.1338602999999 -86.8339479,4703700000457,36.141969 -86.806068,4703700000448,1516631771360
36.1466963 -86.8007657,4703700000445,36.141969 -86.806068,4703700000448,1516631639325
36.1466963 -86.8007657,4703700000445,36.140998 -86.813493,4703700000453,1516632900553
36.1143449 -86.9175238999999,4703700000542,36.140998 -86.813493,4703700000453,1516630848308
36.129459 -86.776394,4703700000470,36.144672 -86.803064,4703700000445,1516630531861
36.129459 -86.776394,4703700000470,36.141969 -86.806068,4703700000448,1516629734442
36.0958759 -86.8776539999999,4703700000585,36.140998 -86.813493,4703700000453,1516630800125
36.0958759 -86.8776539999999,4703700000585,36.143494 -86.811862,4703700000453,1516630534172
36.1466963 -86.8007657,4703700000445,36.144672 -86.803064,4703700000445,1516631147707
36.128141 -86.79133,4703700000472,36.144672 -86.803064,4703700000445,1516632145574
