startTime,endTime,energy
1,1,6.3
2,2,5.800000000000001
3,3,5.500000000000001
4,4,5.2
5,5,4.8
6,6,4.7
7,7,4.6
8,8,4.4
9,9,4.4
10,10,4.3
11,11,4.3
12,12,4.3
13,13,4.2
14,14,4.2
15,15,4.3
16,16,4.4
17,17,4.5
18,18,4.7
19,19,5.0
20,20,5.2
21,21,5.3999999999999995
22,22,5.3999999999999995
23,23,5.5
24,24,5.700000000000001
25,25,6.000000000000001
26,26,6.6000000000000005
27,27,6.999999999999999
28,28,7.5
29,29,8.2
30,30,8.700000000000001
31,31,9.3
32,32,10.1
33,33,11.2
34,34,12.3
35,35,13.4
36,36,14.200000000000001
37,37,14.600000000000001
38,38,14.8
39,39,14.700000000000001
40,40,14.8
41,41,14.700000000000001
42,42,14.8
43,43,14.8
44,44,14.900000000000002
45,45,15.100000000000001
46,46,15.100000000000001
47,47,15.3
48,48,15.3
49,49,15.100000000000001
50,50,15.1
51,51,15.0
52,52,14.700000000000001
53,53,14.200000000000001
54,54,13.5
55,55,13.200000000000001
56,56,12.9
57,57,12.700000000000001
58,58,12.299999999999999
59,59,12.399999999999999
60,60,12.6
61,61,12.699999999999998
62,62,12.599999999999998
63,63,12.799999999999999
64,64,12.7
65,65,12.7
66,66,12.6
67,67,12.499999999999998
68,68,12.499999999999998
69,69,12.499999999999998
70,70,12.699999999999998
71,71,12.599999999999998
72,72,12.399999999999999
73,73,12.0
74,74,11.8
75,75,11.4
76,76,10.700000000000003
77,77,10.4
78,78,10.1
79,79,9.700000000000001
80,80,9.5
81,81,9.4
82,82,9.4
83,83,9.5
84,84,9.6
85,85,9.5
86,86,9.3
87,87,9.1
88,88,8.7
89,89,8.6
90,90,8.6
91,91,8.4
92,92,7.9
93,93,7.8
94,94,7.499999999999999
95,95,6.999999999999999
96,96,6.7
