startTime,endTime,energy
0,0,0
1,1,0
2,2,0
3,3,0
4,4,0
5,5,0
6,6,0
7,7,0
8,8,0
9,9,0
10,10,0
11,11,0
12,12,0
13,13,0
14,14,0
15,15,0
16,16,0
17,17,0
18,18,0
19,19,0
20,20,0
21,21,0
22,22,0
23,23,0
24,24,0
25,25,0
26,26,0
27,27,0.1
28,28,0.3
29,29,0.5
30,30,0.7
31,31,1
32,32,1.3
33,33,1.7
34,34,2
35,35,2.4
36,36,2.9
37,37,3.3
38,38,3.8
39,39,4.2
40,40,4.7
41,41,5.2
42,42,5.6
43,43,6.1
44,44,6.5
45,45,6.9
46,46,7.3
47,47,7.7
48,48,8.1
49,49,8.4
50,50,8.6
51,51,8.9
52,67,9.1
53,67,9.2
54,54,9.3
55,55,9.4
56,56,9.4
57,57,9.4
58,58,9.3
59,59,9.2
60,60,9.1
61,61,8.8
62,62,8.6
63,63,8.3
64,64,8
65,65,7.7
66,66,7.3
67,67,6.9
68,95,6.5
69,95,6
70,70,5.6
71,71,5.1
72,72,4.6
73,73,4.2
74,74,3.7
75,75,3.2
76,76,2.8
77,77,2.4
78,78,2
79,79,1.6
80,80,1.3
81,81,1
82,82,0.7
83,83,0.5
84,84,0.3
85,85,0.1
86,86,0
87,87,0
88,88,0
89,89,0
90,90,0
91,91,0
92,92,0
93,93,0
94,94,0
95,95,0
