startTime,endTime,energy
28,28,0.2
29,29,0.4
30,30,0.8
31,31,1.1
32,32,1.5
33,33,2.0
34,34,2.6
35,35,3.1
36,36,3.8
37,37,4.4
38,38,5.1
39,39,5.8
40,40,6.5
41,41,7.2
42,42,7.9
43,43,8.6
44,44,9.3
45,45,10.0
46,46,10.7
47,47,11.3
48,48,11.9
49,49,12.4
50,50,2.9
50,95,10
51,51,3.3
51,95,10
52,52,3.7
52,95,10
53,53,4.0
53,95,10
54,54,4.2
54,95,10
55,55,4.4
55,95,10
56,56,4.5
56,95,10
57,57,4.5
57,95,10
58,58,4.5
58,95,10
59,59,14.4
60,60,14.2
61,61,13.9
62,62,13.6
63,63,13.2
64,64,12.8
65,65,12.3
66,66,11.8
67,67,11.2
68,68,10.6
69,69,9.9
70,70,9.2
71,71,8.5
72,72,7.8
73,73,7.1
74,74,6.4
75,75,5.7
76,76,5.0
77,77,4.3
78,78,3.7
79,79,3.1
80,80,2.5
81,81,2.0
82,82,1.5
83,83,1.1
84,84,0.7
85,85,0.4
86,86,0.2
