startTime,endTime,energy
27,27,0.1
32,39,3.2
33,39,4.2
34,39,5.3
28,39,0.4
29,39,0.9
30,39,1.6
31,39,2.3
34,34,3.9
35,35,6.5
36,36,7.8
37,37,9.2
38,38,10.6
39,39,12.0
40,40,13.5
41,41,15.0
42,42,16.5
43,43,18.0
44,44,19.5
45,45,20.9
46,46,22.2
47,47,23.5
48,53,24.7
48,48,10.7
49,49,25.8
50,50,26.8
51,51,27.7
52,52,28.5
53,53,29.1
54,54,29.6
55,60,29.9
55,55,15.9
56,56,30.2
57,57,30.2
58,58,30.1
59,59,29.9
60,60,29.5
61,61,29.0
62,62,28.4
63,63,27.6
64,64,26.7
65,65,25.7
66,66,24.5
67,67,23.3
68,68,22.0
69,69,20.7
70,70,19.3
71,76,17.8
71,71,3.8
72,72,16.3
73,73,14.8
74,74,13.3
75,75,11.8
76,76,10.4
77,77,9.0
78,78,7.6
79,79,6.4
80,88,5.2
81,88,4.1
82,88,3.1
83,88,2.2
83,83,0.6
84,84,1.4
85,85,0.8
86,86,0.3
