TimeInterval,WithoutBattery,WithBattery12,WithBattery5
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,0,0,0
20,0,0,0
21,0,0,0
22,0,0,0
23,0,0,0
24,0,0,0
25,0,0,0
26,0,0,0
27,0.3,0.3,0.3
28,1.9,1.9,1.9
29,4.4,4.4,4.4
30,7.5,7.5,7.5
31,11,11,11
32,15.2,15.2,15.2
33,20,20,20
34,25.4,25.4,25.4
35,31,31,31
36,37.1,37.1,37.1
37,41.5,41.5,41.5
38,44.1,44.1,44.1
39,46.6,46.6,46.6
40,49.3,49.3,49.3
41,52,52,52
42,54.7,54.7,54.7
43,57.3,57.3,57.3
44,60,60,60
45,62.5,62.5,62.5
46,65,65,65
47,67.3,67.3,67.3
48,69.5,69.5,69.5
49,70.6,70.6,70.6
50,71.4,52.9,62.3
51,72.1,57,56.5
52,72.7,63.9,70.8
53,73.3,59.4,68.9
54,73.6,60,74.75
55,73.9,61.7,66.05
56,74.1,69.6,70.3
57,74.1,62.75,69.5
58,74.1,67.4,74.95
59,73.9,75.35,75.15
60,73.6,77.5,80.4
61,73.1,82.75,81.55
62,72.6,81.3,76.6
63,72,78.4,74.55
64,71.3,74.9,75
65,70.5,72.3,76.6
66,69.1,73.5,72.1
67,66.9,76.8,69.1
68,64.6,70.1,71
69,62.2,63.9,65.55
70,59.6,64.8,61.2
71,57,61.5,59.6
72,54.3,57,54.3
73,51.6,56.4,55.4
74,48.9,50.6,50.3
75,46.3,48.1,47.8
76,43.7,50.8,44.4
77,41.2,43.3,41.2
78,36.2,41.1,38.1
79,30.3,36.8,31.1
80,24.5,30.1,25.6
81,19.4,26.3,19.4
82,14.7,18.2,14.7
83,10.5,22.3,10.5
84,6.9,9.5,6.9
85,4,7.9,4
86,1.6,4.75,2.2
87,0,5.5,0.9
88,0,3.2,1.7
89,0,2.1,1.5
90,0,5.3,0
91,0,4.8,1.3
92,0,3.8,0
93,0,3.6,0.4
94,0,5.2,0
95,0,2.5,0
96,0,0,0
