startTime,endTime,energy
32,32,100.0
33,33,130.0
34,34,170.0
35,35,200.0
36,36,240.0
37,37,290.0
38,38,330.0
39,39,380.0
40,40,420.0
41,41,470.0
42,42,520.0
43,43,560.0
44,44,610.0
45,45,650.0
46,46,690.0
47,47,730.0
48,48,770.0
49,49,810.0
50,95,840.0
51,95,860.0
52,95,890.0
53,95,910.0
54,95,919.9999999999999
55,95,930.0000000000001
56,95,940.0
57,95,940.0
58,95,940.0
59,59,100.0
59,95,830.0000000000001
60,60,919.9999999999999
61,61,910.0
62,62,880.0000000000001
63,63,860.0
64,64,830.0000000000001
65,65,800.0
66,66,770.0
67,67,730.0
68,68,690.0
69,69,650.0
70,70,600.0
71,71,560.0
72,72,509.99999999999994
73,73,459.99999999999994
74,74,420.0
75,75,370.0
76,76,320.0
77,77,280.0
78,78,240.0
79,79,200.0
80,80,160.0
81,81,130.0
82,82,100.0
83,83,70.0
84,84,50.0
85,85,30.0
86,86,10.0
