# file...... market_nom.csv
# date...... Fri Oct  4 20:30:28 2019
# user...... riaps
# host...... (null)
# target.... auction 1394
# trigger... (none)
# interval.. 300
# limit..... 0
# timestamp,current_market.clearing_price,current_market.clearing_quantity,current_price_mean_1h,current_price_stdev_1h,current_market.buyer_total_unrep,current_market.cap_ref_unrep
2009-06-01 00:00:00 PDT,+0.15,+0,+0.15,+0.05,+0,+0
2009-06-01 00:05:00 PDT,+0.0125,+0,+0.138542,+0.05,+0,+0
2009-06-01 00:10:00 PDT,+0.0756,+329.883,+0.132342,+0.05,+329.883,+0
2009-06-01 00:15:00 PDT,+0.0756,+334.538,+0.126142,+0.05,+334.538,+0
2009-06-01 00:20:00 PDT,+0.0756,+333.213,+0.119942,+0.05,+333.213,+0
2009-06-01 00:25:00 PDT,+0.0756,+333.129,+0.113742,+0.05,+328.477,+0
2009-06-01 00:30:00 PDT,+0.0756,+327.836,+0.107542,+0.05,+323.853,+0
2009-06-01 00:35:00 PDT,+0.0756,+332.3,+0.101342,+0.05,+323.669,+0
2009-06-01 00:40:00 PDT,+0.0756,+334.383,+0.0951417,+0.05,+330.4,+0
2009-06-01 00:45:00 PDT,+0.0756,+338.588,+0.0889417,+0.05,+329.962,+0
2009-06-01 00:50:00 PDT,+0.0756,+333.568,+0.0827417,+0.05,+329.585,+0
2009-06-01 00:55:00 PDT,+0.0756,+333.226,+0.0765417,+0.05,+328.589,+0
2009-06-01 01:00:00 PDT,+0.0756,+333.095,+0.0703417,+0.0174399,+333.095,+0
2009-06-01 01:05:00 PDT,+0.0756,+332.963,+0.0756,+0,+328.332,+0
2009-06-01 01:10:00 PDT,+0.0756,+338.252,+0.0756,+0,+333.621,+0
2009-06-01 01:15:00 PDT,+0.0756,+333.29,+0.0756,+0,+333.29,+0
2009-06-01 01:20:00 PDT,+0.0756,+328.562,+0.0756,+0,+328.562,+0
2009-06-01 01:25:00 PDT,+0.0756,+333.316,+0.0756,+0,+333.316,+0
2009-06-01 01:30:00 PDT,+0.0756,+332.953,+0.0756,+0,+332.953,+0
2009-06-01 01:35:00 PDT,+0.0756,+330.593,+0.0756,+0,+330.593,+0
2009-06-01 01:40:00 PDT,+0.0756,+331.361,+0.0756,+0,+331.361,+0
2009-06-01 01:45:00 PDT,+0.0756,+331.069,+0.0756,+0,+331.069,+0
2009-06-01 01:50:00 PDT,+0.0756,+330.981,+0.0756,+0,+330.981,+0
2009-06-01 01:55:00 PDT,+0.0756,+330.84,+0.0756,+0,+330.84,+0
2009-06-01 02:00:00 PDT,+0.0756,+344.106,+0.0756,+0,+344.106,+0
2009-06-01 02:05:00 PDT,+0.0756,+339.307,+0.0756,+0,+339.307,+0
2009-06-01 02:10:00 PDT,+0.0756,+333.231,+0.0756,+0,+333.231,+0
2009-06-01 02:15:00 PDT,+0.0756,+333.154,+0.0756,+0,+333.154,+0
2009-06-01 02:20:00 PDT,+0.0756,+329.187,+0.0756,+0,+329.187,+0
2009-06-01 02:25:00 PDT,+0.0756,+341.144,+0.0756,+0,+341.144,+0
2009-06-01 02:30:00 PDT,+0.0756,+329.091,+0.0756,+0,+329.091,+0
2009-06-01 02:35:00 PDT,+0.0756,+329.023,+0.0756,+0,+329.023,+0
2009-06-01 02:40:00 PDT,+0.0756,+327.323,+0.0756,+0,+327.323,+0
2009-06-01 02:45:00 PDT,+0.0756,+327.223,+0.0756,+0,+327.223,+0
2009-06-01 02:50:00 PDT,+0.0756,+327.203,+0.0756,+0,+327.203,+0
2009-06-01 02:55:00 PDT,+0.0756,+327.146,+0.0756,+0,+327.146,+0
2009-06-01 03:00:00 PDT,+0.0756,+327.131,+0.0756,+0,+327.131,+0
2009-06-01 03:05:00 PDT,+0.0756,+329.806,+0.0756,+0,+329.806,+0
2009-06-01 03:10:00 PDT,+0.0756,+328.242,+0.0756,+0,+328.242,+0
2009-06-01 03:15:00 PDT,+0.0756,+328.222,+0.0756,+0,+328.222,+0
2009-06-01 03:20:00 PDT,+0.0756,+328.206,+0.0756,+0,+328.206,+0
2009-06-01 03:25:00 PDT,+0.0756,+328.207,+0.0756,+0,+328.207,+0
2009-06-01 03:30:00 PDT,+0.0756,+328.189,+0.0756,+0,+328.189,+0
2009-06-01 03:35:00 PDT,+0.0756,+328.176,+0.0756,+0,+328.176,+0
2009-06-01 03:40:00 PDT,+0.0756,+327.061,+0.0756,+0,+327.061,+0
2009-06-01 03:45:00 PDT,+0.0756,+324.864,+0.0756,+0,+324.864,+0
2009-06-01 03:50:00 PDT,+0.0756,+327.138,+0.0756,+0,+327.138,+0
2009-06-01 03:55:00 PDT,+0.0756,+327.128,+0.0756,+0,+327.128,+0
2009-06-01 04:00:00 PDT,+0.0756,+327.129,+0.0756,+0,+327.129,+0
2009-06-01 04:05:00 PDT,+0.0756,+327.292,+0.0756,+0,+327.292,+0
2009-06-01 04:10:00 PDT,+0.0756,+323.483,+0.0756,+0,+323.483,+0
2009-06-01 04:15:00 PDT,+0.0756,+327.912,+0.0756,+0,+327.912,+0
2009-06-01 04:20:00 PDT,+0.0756,+323.484,+0.0756,+0,+323.484,+0
2009-06-01 04:25:00 PDT,+0.0756,+323.535,+0.0756,+0,+323.535,+0
2009-06-01 04:30:00 PDT,+0.0756,+323.597,+0.0756,+0,+323.597,+0
2009-06-01 04:35:00 PDT,+0.0756,+331.562,+0.0756,+0,+331.562,+0
2009-06-01 04:40:00 PDT,+0.0756,+326.112,+0.0756,+0,+326.112,+0
2009-06-01 04:45:00 PDT,+0.0756,+327.22,+0.0756,+0,+327.22,+0
2009-06-01 04:50:00 PDT,+0.0756,+324.431,+0.0756,+0,+324.431,+0
2009-06-01 04:55:00 PDT,+0.0756,+320.106,+0.0756,+0,+320.106,+0
2009-06-01 05:00:00 PDT,+0.0756,+328.051,+0.0756,+0,+328.051,+0
2009-06-01 05:05:00 PDT,+0.0756,+324.583,+0.0756,+0,+324.583,+0
2009-06-01 05:10:00 PDT,+0.0756,+322.83,+0.0756,+0,+322.83,+0
2009-06-01 05:15:00 PDT,+0.0756,+320.294,+0.0756,+0,+320.294,+0
2009-06-01 05:20:00 PDT,+0.0756,+319.689,+0.0756,+0,+319.689,+0
2009-06-01 05:25:00 PDT,+0.0756,+319.814,+0.0756,+0,+319.814,+0
2009-06-01 05:30:00 PDT,+0.0756,+316.131,+0.0756,+0,+316.131,+0
2009-06-01 05:35:00 PDT,+0.0756,+320.276,+0.0756,+0,+320.276,+0
2009-06-01 05:40:00 PDT,+0.0756,+318.841,+0.0756,+0,+318.841,+0
2009-06-01 05:45:00 PDT,+0.0756,+315.554,+0.0756,+0,+315.554,+0
2009-06-01 05:50:00 PDT,+0.0756,+320.433,+0.0756,+0,+320.433,+0
2009-06-01 05:55:00 PDT,+0.0756,+324.612,+0.0756,+0,+324.612,+0
2009-06-01 06:00:00 PDT,+0.0756,+322.54,+0.0756,+0,+322.54,+0
2009-06-01 06:05:00 PDT,+0.0756,+328.153,+0.0756,+0,+328.153,+0
2009-06-01 06:10:00 PDT,+0.0756,+326.017,+0.0756,+0,+326.017,+0
2009-06-01 06:15:00 PDT,+0.0756,+321.507,+0.0756,+0,+321.507,+0
2009-06-01 06:20:00 PDT,+0.0756,+322.597,+0.0756,+0,+322.597,+0
2009-06-01 06:25:00 PDT,+0.0756,+326.516,+0.0756,+0,+326.516,+0
2009-06-01 06:30:00 PDT,+0.0756,+322.054,+0.0756,+0,+322.054,+0
2009-06-01 06:35:00 PDT,+0.0756,+327.54,+0.0756,+0,+327.54,+0
2009-06-01 06:40:00 PDT,+0.0756,+325.595,+0.0756,+0,+325.595,+0
2009-06-01 06:45:00 PDT,+0.0756,+324.491,+0.0756,+0,+324.491,+0
2009-06-01 06:50:00 PDT,+0.0756,+329.393,+0.0756,+0,+329.393,+0
2009-06-01 06:55:00 PDT,+0.0756,+324.966,+0.0756,+0,+324.966,+0
2009-06-01 07:00:00 PDT,+0.0756,+330.049,+0.0756,+0,+330.049,+0
2009-06-01 07:05:00 PDT,+0.0756,+321.28,+0.0756,+0,+321.28,+0
2009-06-01 07:10:00 PDT,+0.0882,+379.312,+0.07665,+0.00348246,+379.312,+0
2009-06-01 07:15:00 PDT,+0.0882,+374.81,+0.0777,+0.00469574,+374.81,+0
2009-06-01 07:20:00 PDT,+0.0882,+361.123,+0.07875,+0.00545596,+361.123,+0
2009-06-01 07:25:00 PDT,+0.0882,+365.978,+0.0798,+0.0059397,+365.978,+0
2009-06-01 07:30:00 PDT,+0.0882,+371.432,+0.08085,+0.00621188,+371.432,+0
2009-06-01 07:35:00 PDT,+0.0882,+370.886,+0.0819,+0.0063,+370.886,+0
2009-06-01 07:40:00 PDT,+0.0882,+409.863,+0.08295,+0.00621188,+400.414,+0
2009-06-01 07:45:00 PDT,+0.0882,+419.18,+0.084,+0.0059397,+400.716,+0
2009-06-01 07:50:00 PDT,+0.0882,+419.155,+0.08505,+0.00545596,+405.109,+0
2009-06-01 07:55:00 PDT,+0.0882,+414.632,+0.0861,+0.00469574,+400.715,+0
2009-06-01 08:00:00 PDT,+0.0882,+379.813,+0.08715,+0.00348246,+365.534,+0
2009-06-01 08:05:00 PDT,+0.0882,+374.175,+0.0882,+1.38778e-17,+360.184,+0
