# file...... total_power_network_node.csv
# date...... Fri Oct  4 20:30:28 2019
# user...... riaps
# host...... (null)
# target.... meter 105
# trigger... (none)
# interval.. 300
# limit..... 0
# timestamp,measured_power,measured_real_power
2009-06-01 00:00:00 PDT,+334756+5615.62j,+334756
2009-06-01 00:05:00 PDT,+334538+5551.8j,+334538
2009-06-01 00:10:00 PDT,+337576+7682.7j,+337576
2009-06-01 00:15:00 PDT,+328289+2702.72j,+328289
2009-06-01 00:20:00 PDT,+332770+5357.36j,+332770
2009-06-01 00:25:00 PDT,+339699+2725.59j,+339699
2009-06-01 00:30:00 PDT,+339327+5387.17j,+339327
2009-06-01 00:35:00 PDT,+334106+2732.03j,+334106
2009-06-01 00:40:00 PDT,+338586+5384j,+338586
2009-06-01 00:45:00 PDT,+333568+2730.83j,+333568
2009-06-01 00:50:00 PDT,+338048+5381.17j,+338048
2009-06-01 00:55:00 PDT,+333095+2729.8j,+333095
2009-06-01 01:00:00 PDT,+334510+2737.62j,+334510
2009-06-01 01:05:00 PDT,+337403+2742.79j,+337403
2009-06-01 01:10:00 PDT,+337146+2742.22j,+337146
2009-06-01 01:15:00 PDT,+349073+2766.7j,+349073
2009-06-01 01:20:00 PDT,+337182+2805.22j,+337182
2009-06-01 01:25:00 PDT,+336859+2741.61j,+336859
2009-06-01 01:30:00 PDT,+339984+2748.34j,+339984
2009-06-01 01:35:00 PDT,+339785+2747.92j,+339785
2009-06-01 01:40:00 PDT,+339637+2747.6j,+339637
2009-06-01 01:45:00 PDT,+339549+2747.42j,+339549
2009-06-01 01:50:00 PDT,+344173+5384.11j,+344173
2009-06-01 01:55:00 PDT,+339343+2746.98j,+339343
2009-06-01 02:00:00 PDT,+341874+4982.19j,+341874
2009-06-01 02:05:00 PDT,+337803+2740.38j,+337803
2009-06-01 02:10:00 PDT,+337670+2740.11j,+337670
2009-06-01 02:15:00 PDT,+337657+2740.09j,+337657
2009-06-01 02:20:00 PDT,+337588+2739.94j,+337588
2009-06-01 02:25:00 PDT,+337557+2739.89j,+337557
2009-06-01 02:30:00 PDT,+335820+2732.17j,+335820
2009-06-01 02:35:00 PDT,+335765+2732.08j,+335765
2009-06-01 02:40:00 PDT,+335706+2731.96j,+335706
2009-06-01 02:45:00 PDT,+335686+2731.93j,+335686
2009-06-01 02:50:00 PDT,+335629+2731.82j,+335629
2009-06-01 02:55:00 PDT,+335614+2731.79j,+335614
2009-06-01 03:00:00 PDT,+336725+2730.6j,+336725
2009-06-01 03:05:00 PDT,+336725+2730.6j,+336725
2009-06-01 03:10:00 PDT,+336905+2793.93j,+336905
2009-06-01 03:15:00 PDT,+336690+2730.54j,+336690
2009-06-01 03:20:00 PDT,+336672+2730.51j,+336672
2009-06-01 03:25:00 PDT,+336673+2730.51j,+336673
2009-06-01 03:30:00 PDT,+335543+2725.8j,+335543
2009-06-01 03:35:00 PDT,+333143+2721.28j,+333143
2009-06-01 03:40:00 PDT,+333130+2721.26j,+333130
2009-06-01 03:45:00 PDT,+335621+2725.98j,+335621
2009-06-01 03:50:00 PDT,+335611+2725.96j,+335611
2009-06-01 03:55:00 PDT,+335611+2725.97j,+335611
2009-06-01 04:00:00 PDT,+336439+5315.66j,+336439
2009-06-01 04:05:00 PDT,+331821+2715.84j,+331821
2009-06-01 04:10:00 PDT,+331823+2715.84j,+331823
2009-06-01 04:15:00 PDT,+331874+2715.96j,+331874
2009-06-01 04:20:00 PDT,+331875+2715.96j,+331875
2009-06-01 04:25:00 PDT,+332003+2716.24j,+332003
2009-06-01 04:30:00 PDT,+330470+2709.66j,+330470
2009-06-01 04:35:00 PDT,+330716+2710.22j,+330716
2009-06-01 04:40:00 PDT,+330801+2710.41j,+330801
2009-06-01 04:45:00 PDT,+328351+2706.1j,+328351
2009-06-01 04:50:00 PDT,+328420+2706.25j,+328420
2009-06-01 04:55:00 PDT,+328506+2706.44j,+328506
2009-06-01 05:00:00 PDT,+331238+5323.36j,+331238
2009-06-01 05:05:00 PDT,+326508+2695.32j,+326508
2009-06-01 05:10:00 PDT,+328314+4934.9j,+328314
2009-06-01 05:15:00 PDT,+324360+2691.74j,+324360
2009-06-01 05:20:00 PDT,+324448+2691.94j,+324448
2009-06-01 05:25:00 PDT,+328879+4946.92j,+328879
2009-06-01 05:30:00 PDT,+323219+2684.91j,+323219
2009-06-01 05:35:00 PDT,+323809+2686.24j,+323809
2009-06-01 05:40:00 PDT,+328927+5349.14j,+328927
2009-06-01 05:45:00 PDT,+328573+4956.66j,+328573
2009-06-01 05:50:00 PDT,+327015+2692.46j,+327015
2009-06-01 05:55:00 PDT,+327216+2692.95j,+327216
2009-06-01 06:00:00 PDT,+326017+2687.42j,+326017
2009-06-01 06:05:00 PDT,+326017+2687.42j,+326017
2009-06-01 06:10:00 PDT,+326409+2688.43j,+326409
2009-06-01 06:15:00 PDT,+330791+4981.93j,+330791
2009-06-01 06:20:00 PDT,+326725+2689.27j,+326725
2009-06-01 06:25:00 PDT,+332025+5394.78j,+332025
2009-06-01 06:30:00 PDT,+325449+2682.87j,+325449
2009-06-01 06:35:00 PDT,+325959+2684.31j,+325959
2009-06-01 06:40:00 PDT,+334239+5409.31j,+334239
2009-06-01 06:45:00 PDT,+329393+2691.64j,+329393
2009-06-01 06:50:00 PDT,+334794+5419.32j,+334794
2009-06-01 06:55:00 PDT,+334239+3800.86j,+334239
2009-06-01 07:00:00 PDT,+378998+2954.9j,+378998
2009-06-01 07:05:00 PDT,+383418+5285.27j,+383418
2009-06-01 07:10:00 PDT,+379337+2956.02j,+379337
2009-06-01 07:15:00 PDT,+379385+2956.17j,+379385
2009-06-01 07:20:00 PDT,+379567+2956.78j,+379567
2009-06-01 07:25:00 PDT,+379687+2957.15j,+379687
2009-06-01 07:30:00 PDT,+423097+3181.85j,+423097
2009-06-01 07:35:00 PDT,+433064+8290.9j,+433064
2009-06-01 07:40:00 PDT,+428007+4320.55j,+428007
2009-06-01 07:45:00 PDT,+438137+8278.93j,+438137
2009-06-01 07:50:00 PDT,+479340+17549.4j,+479340
2009-06-01 07:55:00 PDT,+459938+15064.4j,+459938
2009-06-01 08:00:00 PDT,+563465+9711.89j,+563465
2009-06-01 08:05:00 PDT,+711387+51040.6j,+711387
2009-06-01 08:10:00 PDT,+563593+9914.91j,+563593
2009-06-01 08:15:00 PDT,+553764+4141.82j,+553764
2009-06-01 08:20:00 PDT,+541882+4107.04j,+541882
2009-06-01 08:25:00 PDT,+865683+92048j,+865683
2009-06-01 08:30:00 PDT,+637689+7937.14j,+637689
2009-06-01 08:35:00 PDT,+640724+10013.5j,+640724
2009-06-01 08:40:00 PDT,+628497+4841.12j,+628497
2009-06-01 08:45:00 PDT,+1.0923e+06+131453j,+1.0923e+06
2009-06-01 08:50:00 PDT,+643403+8613.19j,+643403
2009-06-01 08:55:00 PDT,+642946+8419.87j,+642946
2009-06-01 09:00:00 PDT,+893884+42902.8j,+893884
2009-06-01 09:05:00 PDT,+1.29996e+06+152090j,+1.29996e+06
2009-06-01 09:10:00 PDT,+794336+11093j,+794336
2009-06-01 09:15:00 PDT,+795338+11256.7j,+795338
2009-06-01 09:20:00 PDT,+797439+17132.1j,+797439
2009-06-01 09:25:00 PDT,+1.37057e+06+169971j,+1.37057e+06
2009-06-01 09:30:00 PDT,+1.06105e+06+57132.9j,+1.06105e+06
2009-06-01 09:35:00 PDT,+911544+17678.9j,+911544
2009-06-01 09:40:00 PDT,+891217+12643.7j,+891217
2009-06-01 09:45:00 PDT,+1.76527e+06+247066j,+1.76527e+06
2009-06-01 09:50:00 PDT,+882166+10304.3j,+882166
2009-06-01 09:55:00 PDT,+885985+9831.32j,+885985
2009-06-01 10:00:00 PDT,+1.11632e+06+47311.5j,+1.11632e+06
2009-06-01 10:05:00 PDT,+1.76394e+06+221409j,+1.76394e+06
2009-06-01 10:10:00 PDT,+1.04712e+06+28870.7j,+1.04712e+06
2009-06-01 10:15:00 PDT,+992396+12764.3j,+992396
2009-06-01 10:20:00 PDT,+1.06299e+06+33638.3j,+1.06299e+06
2009-06-01 10:25:00 PDT,+1.84796e+06+245790j,+1.84796e+06
2009-06-01 10:30:00 PDT,+1.13783e+06+27512.5j,+1.13783e+06
2009-06-01 10:35:00 PDT,+1.25032e+06+58357.4j,+1.25032e+06
2009-06-01 10:40:00 PDT,+1.58541e+06+150650j,+1.58541e+06
2009-06-01 10:45:00 PDT,+1.20711e+06+45061.3j,+1.20711e+06
2009-06-01 10:50:00 PDT,+1.47361e+06+120370j,+1.47361e+06
2009-06-01 10:55:00 PDT,+1.35549e+06+85413.6j,+1.35549e+06
2009-06-01 11:00:00 PDT,+1.30182e+06+64259.2j,+1.30182e+06
2009-06-01 11:05:00 PDT,+1.57009e+06+135108j,+1.57009e+06
2009-06-01 11:10:00 PDT,+1.24107e+06+48053.6j,+1.24107e+06
2009-06-01 11:15:00 PDT,+1.29967e+06+63868.7j,+1.29967e+06
2009-06-01 11:20:00 PDT,+1.50531e+06+120467j,+1.50531e+06
2009-06-01 11:25:00 PDT,+1.18885e+06+33192.2j,+1.18885e+06
2009-06-01 11:30:00 PDT,+1.50129e+06+114475j,+1.50129e+06
2009-06-01 11:35:00 PDT,+1.64759e+06+154742j,+1.64759e+06
2009-06-01 11:40:00 PDT,+1.16557e+06+23006.5j,+1.16557e+06
2009-06-01 11:45:00 PDT,+1.30808e+06+62046.5j,+1.30808e+06
2009-06-01 11:50:00 PDT,+1.21837e+06+38610.1j,+1.21837e+06
2009-06-01 11:55:00 PDT,+1.71201e+06+172480j,+1.71201e+06
2009-06-01 12:00:00 PDT,+1.33375e+06+68679.5j,+1.33375e+06
2009-06-01 12:05:00 PDT,+1.28761e+06+57621j,+1.28761e+06
2009-06-01 12:10:00 PDT,+1.94838e+06+237024j,+1.94838e+06
2009-06-01 12:15:00 PDT,+1.23731e+06+43826.6j,+1.23731e+06
2009-06-01 12:20:00 PDT,+1.31015e+06+61176.5j,+1.31015e+06
2009-06-01 12:25:00 PDT,+1.18344e+06+27306.2j,+1.18344e+06
2009-06-01 12:30:00 PDT,+2.17632e+06+300329j,+2.17632e+06
2009-06-01 12:35:00 PDT,+1.12138e+06+10582.6j,+1.12138e+06
2009-06-01 12:40:00 PDT,+1.25616e+06+47635.8j,+1.25616e+06
2009-06-01 12:45:00 PDT,+2.11585e+06+284080j,+2.11585e+06
2009-06-01 12:50:00 PDT,+1.13945e+06+15262.2j,+1.13945e+06
2009-06-01 12:55:00 PDT,+1.40081e+06+86960.5j,+1.40081e+06
2009-06-01 13:00:00 PDT,+2.06293e+06+269537j,+2.06293e+06
2009-06-01 13:05:00 PDT,+1.2519e+06+45474.8j,+1.2519e+06
2009-06-01 13:10:00 PDT,+1.35852e+06+74937.5j,+1.35852e+06
2009-06-01 13:15:00 PDT,+1.5679e+06+133529j,+1.5679e+06
2009-06-01 13:20:00 PDT,+1.44754e+06+98088.5j,+1.44754e+06
2009-06-01 13:25:00 PDT,+1.22251e+06+37402.7j,+1.22251e+06
2009-06-01 13:30:00 PDT,+1.8532e+06+212293j,+1.8532e+06
2009-06-01 13:35:00 PDT,+1.24801e+06+45299.8j,+1.24801e+06
2009-06-01 13:40:00 PDT,+1.407e+06+86994.8j,+1.407e+06
2009-06-01 13:45:00 PDT,+1.35393e+06+75914.3j,+1.35393e+06
2009-06-01 13:50:00 PDT,+1.82636e+06+202225j,+1.82636e+06
2009-06-01 13:55:00 PDT,+1.22735e+06+39051.9j,+1.22735e+06
2009-06-01 14:00:00 PDT,+1.69323e+06+168203j,+1.69323e+06
2009-06-01 14:05:00 PDT,+1.48665e+06+109402j,+1.48665e+06
2009-06-01 14:10:00 PDT,+1.25503e+06+48917.4j,+1.25503e+06
2009-06-01 14:15:00 PDT,+1.66092e+06+159052j,+1.66092e+06
2009-06-01 14:20:00 PDT,+1.40069e+06+87468.6j,+1.40069e+06
2009-06-01 14:25:00 PDT,+1.26001e+06+48314.2j,+1.26001e+06
2009-06-01 14:30:00 PDT,+1.77312e+06+191187j,+1.77312e+06
2009-06-01 14:35:00 PDT,+1.2812e+06+54341j,+1.2812e+06
2009-06-01 14:40:00 PDT,+1.30039e+06+61044.5j,+1.30039e+06
2009-06-01 14:45:00 PDT,+1.71462e+06+171723j,+1.71462e+06
2009-06-01 14:50:00 PDT,+1.22386e+06+38253.8j,+1.22386e+06
2009-06-01 14:55:00 PDT,+1.32457e+06+65933.3j,+1.32457e+06
2009-06-01 15:00:00 PDT,+1.49453e+06+114150j,+1.49453e+06
2009-06-01 15:05:00 PDT,+1.49291e+06+111364j,+1.49291e+06
2009-06-01 15:10:00 PDT,+1.2325e+06+40396.8j,+1.2325e+06
2009-06-01 15:15:00 PDT,+1.91136e+06+228464j,+1.91136e+06
2009-06-01 15:20:00 PDT,+1.17263e+06+24198.4j,+1.17263e+06
2009-06-01 15:25:00 PDT,+1.30819e+06+62198.4j,+1.30819e+06
2009-06-01 15:30:00 PDT,+1.94531e+06+235647j,+1.94531e+06
2009-06-01 15:35:00 PDT,+1.15385e+06+18972.3j,+1.15385e+06
2009-06-01 15:40:00 PDT,+1.37018e+06+79009.9j,+1.37018e+06
2009-06-01 15:45:00 PDT,+1.94942e+06+238271j,+1.94942e+06
2009-06-01 15:50:00 PDT,+1.14971e+06+19887.1j,+1.14971e+06
2009-06-01 15:55:00 PDT,+1.38463e+06+80575.4j,+1.38463e+06
2009-06-01 16:00:00 PDT,+1.91487e+06+227262j,+1.91487e+06
2009-06-01 16:05:00 PDT,+1.18102e+06+25841.1j,+1.18102e+06
2009-06-01 16:10:00 PDT,+1.37743e+06+79687.2j,+1.37743e+06
2009-06-01 16:15:00 PDT,+1.45232e+06+101567j,+1.45232e+06
2009-06-01 16:20:00 PDT,+1.67685e+06+161034j,+1.67685e+06
2009-06-01 16:25:00 PDT,+1.2074e+06+32909.6j,+1.2074e+06
2009-06-01 16:30:00 PDT,+1.75552e+06+193958j,+1.75552e+06
2009-06-01 16:35:00 PDT,+1.25441e+06+56950.5j,+1.25441e+06
2009-06-01 16:40:00 PDT,+1.25292e+06+55605.6j,+1.25292e+06
2009-06-01 16:45:00 PDT,+1.77086e+06+198299j,+1.77086e+06
2009-06-01 16:50:00 PDT,+1.14628e+06+26549.7j,+1.14628e+06
2009-06-01 16:55:00 PDT,+1.30758e+06+70500.5j,+1.30758e+06
2009-06-01 17:00:00 PDT,+1.62375e+06+165429j,+1.62375e+06
2009-06-01 17:05:00 PDT,+1.19535e+06+48780.3j,+1.19535e+06
2009-06-01 17:10:00 PDT,+1.20775e+06+50729.8j,+1.20775e+06
2009-06-01 17:15:00 PDT,+1.70072e+06+186490j,+1.70072e+06
2009-06-01 17:20:00 PDT,+1.14084e+06+33128.1j,+1.14084e+06
2009-06-01 17:25:00 PDT,+1.35689e+06+93140.4j,+1.35689e+06
2009-06-01 17:30:00 PDT,+1.52463e+06+159432j,+1.52463e+06
2009-06-01 17:35:00 PDT,+1.0219e+06+20930.2j,+1.0219e+06
2009-06-01 17:40:00 PDT,+1.33254e+06+105241j,+1.33254e+06
2009-06-01 17:45:00 PDT,+1.58998e+06+177907j,+1.58998e+06
2009-06-01 17:50:00 PDT,+1.06336e+06+31282.3j,+1.06336e+06
2009-06-01 17:55:00 PDT,+1.26914e+06+87205.3j,+1.26914e+06
2009-06-01 18:00:00 PDT,+1.43994e+06+148579j,+1.43994e+06
2009-06-01 18:05:00 PDT,+997930+28469.8j,+997930
2009-06-01 18:10:00 PDT,+1.20998e+06+86265.2j,+1.20998e+06
2009-06-01 18:15:00 PDT,+1.2309e+06+89656.5j,+1.2309e+06
2009-06-01 18:20:00 PDT,+1.0184e+06+34097.7j,+1.0184e+06
2009-06-01 18:25:00 PDT,+1.17875e+06+76444.5j,+1.17875e+06
2009-06-01 18:30:00 PDT,+968999+48496.1j,+968999
2009-06-01 18:35:00 PDT,+957157+46447.9j,+957157
2009-06-01 18:40:00 PDT,+1.06525e+06+73934.6j,+1.06525e+06
2009-06-01 18:45:00 PDT,+933674+39272.7j,+933674
2009-06-01 18:50:00 PDT,+963409+47827j,+963409
2009-06-01 18:55:00 PDT,+1.01193e+06+59860.8j,+1.01193e+06
2009-06-01 19:00:00 PDT,+934574+49025.1j,+934574
2009-06-01 19:05:00 PDT,+910474+45763.4j,+910474
2009-06-01 19:10:00 PDT,+913005+45937.6j,+913005
2009-06-01 19:15:00 PDT,+932415+51589.2j,+932415
2009-06-01 19:20:00 PDT,+856173+34512.6j,+856173
2009-06-01 19:25:00 PDT,+922058+51065.8j,+922058
2009-06-01 19:30:00 PDT,+783884+37109j,+783884
2009-06-01 19:35:00 PDT,+801447+43375.4j,+801447
2009-06-01 19:40:00 PDT,+705379+17970j,+705379
2009-06-01 19:45:00 PDT,+754135+26146j,+754135
2009-06-01 19:50:00 PDT,+696767+14228.3j,+696767
2009-06-01 19:55:00 PDT,+740558+25850.7j,+740558
2009-06-01 20:00:00 PDT,+629932+18092.9j,+629932
2009-06-01 20:05:00 PDT,+691641+33481.3j,+691641
2009-06-01 20:10:00 PDT,+641311+21393.5j,+641311
2009-06-01 20:15:00 PDT,+662674+25822.3j,+662674
2009-06-01 20:20:00 PDT,+669555+28934.4j,+669555
2009-06-01 20:25:00 PDT,+708754+37879.5j,+708754
2009-06-01 20:30:00 PDT,+647002+25330j,+647002
2009-06-01 20:35:00 PDT,+644980+24821.7j,+644980
2009-06-01 20:40:00 PDT,+624133+20610.5j,+624133
2009-06-01 20:45:00 PDT,+652845+26706j,+652845
2009-06-01 20:50:00 PDT,+607396+15828.4j,+607396
2009-06-01 20:55:00 PDT,+626594+19720.7j,+626594
2009-06-01 21:00:00 PDT,+507190+10335.7j,+507190
2009-06-01 21:05:00 PDT,+528384+14467.9j,+528384
2009-06-01 21:10:00 PDT,+583456+28707j,+583456
2009-06-01 21:15:00 PDT,+510852+6777.4j,+510852
2009-06-01 21:20:00 PDT,+529542+15951.9j,+529542
2009-06-01 21:25:00 PDT,+498703+6723.31j,+498703
2009-06-01 21:30:00 PDT,+553379+21084.8j,+553379
2009-06-01 21:35:00 PDT,+538512+18362.2j,+538512
2009-06-01 21:40:00 PDT,+545318+19019.7j,+545318
2009-06-01 21:45:00 PDT,+538514+17422j,+538514
2009-06-01 21:50:00 PDT,+498512+7057j,+498512
2009-06-01 21:55:00 PDT,+523421+13497.4j,+523421
2009-06-01 22:00:00 PDT,+422140+6175.81j,+422140
2009-06-01 22:05:00 PDT,+458287+16917.7j,+458287
2009-06-01 22:10:00 PDT,+433233+10329.8j,+433233
2009-06-01 22:15:00 PDT,+427844+7868.29j,+427844
2009-06-01 22:20:00 PDT,+441837+11502.1j,+441837
2009-06-01 22:25:00 PDT,+432566+9265.44j,+432566
2009-06-01 22:30:00 PDT,+411630+4551.92j,+411630
2009-06-01 22:35:00 PDT,+430588+12425.3j,+430588
2009-06-01 22:40:00 PDT,+403768+3047.84j,+403768
2009-06-01 22:45:00 PDT,+418011+6921.66j,+418011
2009-06-01 22:50:00 PDT,+452612+15990.6j,+452612
2009-06-01 22:55:00 PDT,+415365+6478.83j,+415365
2009-06-01 23:00:00 PDT,+373764+7138.32j,+373764
2009-06-01 23:05:00 PDT,+356866+2818.62j,+356866
2009-06-01 23:10:00 PDT,+360132+3869.21j,+360132
2009-06-01 23:15:00 PDT,+360621+5479.09j,+360621
2009-06-01 23:20:00 PDT,+367236+2841.28j,+367236
2009-06-01 23:25:00 PDT,+360046+2823.59j,+360046
2009-06-01 23:30:00 PDT,+356487+2807.61j,+356487
2009-06-01 23:35:00 PDT,+357940+2810.07j,+357940
2009-06-01 23:40:00 PDT,+357317+2808.19j,+357317
2009-06-01 23:45:00 PDT,+356863+2806.83j,+356863
2009-06-01 23:50:00 PDT,+356280+2805.11j,+356280
2009-06-01 23:55:00 PDT,+355948+2804.16j,+355948
2009-06-02 00:00:00 PDT,+352646+2791.22j,+352646
2009-06-02 00:05:00 PDT,+352646+2791.21j,+352646
2009-06-02 00:10:00 PDT,+351992+2789.42j,+351992
2009-06-02 00:15:00 PDT,+351910+2789.2j,+351910
2009-06-02 00:20:00 PDT,+351563+2788.27j,+351563
2009-06-02 00:25:00 PDT,+351359+2787.72j,+351359
2009-06-02 00:30:00 PDT,+348596+2776.45j,+348596
2009-06-02 00:35:00 PDT,+348209+2775.45j,+348209
2009-06-02 00:40:00 PDT,+347867+2774.58j,+347867
2009-06-02 00:45:00 PDT,+347676+2774.11j,+347676
2009-06-02 00:50:00 PDT,+347342+2773.28j,+347342
2009-06-02 00:55:00 PDT,+347210+2772.96j,+347210
2009-06-02 01:00:00 PDT,+353874+2781.48j,+353874
2009-06-02 01:05:00 PDT,+341905+2755.69j,+341905
2009-06-02 01:10:00 PDT,+341647+2755.09j,+341647
2009-06-02 01:15:00 PDT,+341604+2755j,+341604
2009-06-02 01:20:00 PDT,+341467+2754.69j,+341467
2009-06-02 01:25:00 PDT,+346217+5414.58j,+346217
2009-06-02 01:30:00 PDT,+337582+2743.88j,+337582
