startTime,endTime,energy
1,1,-3.0
2,2,-2.9
3,3,-2.7
4,4,-2.6
5,5,-2.5
6,6,-2.4
7,7,-2.3
8,8,-2.3
9,9,-2.2
10,10,-2.2
11,11,-2.2
12,12,-2.2
13,13,-2.2
14,14,-2.2
15,15,-2.2
16,16,-2.3
17,17,-2.5
18,18,-2.6
19,19,-2.8
20,20,-2.9
21,21,-3.0
22,22,-3.0
23,23,-3.0
24,24,-2.9
25,25,-3.0
26,26,-3.0
27,27,-3.1
28,28,-3.3
29,29,-3.6
30,30,-3.9
31,31,-4.4
32,32,-5.0
33,33,-5.7
34,34,-6.5
35,35,-7.2
36,36,-7.7
37,37,-8.1
38,38,-8.2
39,39,-8.3
40,40,-8.3
41,41,-8.3
42,42,-8.4
43,43,-8.4
44,44,-8.5
45,45,-8.6
46,46,-8.7
47,47,-8.7
48,48,-8.6
49,49,-8.5
50,50,-8.3
51,51,-8.0
52,52,-7.7
53,53,-7.5
54,54,-7.2
55,55,-7.0
56,56,-6.8
57,57,-6.8
58,58,-6.8
59,59,-6.9
60,60,-7.0
61,61,-7.1
62,62,-7.2
63,63,-7.3
64,64,-7.4
65,65,-7.4
66,66,-7.3
67,67,-7.3
68,68,-7.2
69,69,-7.2
70,70,-7.1
71,71,-7.1
72,72,-6.9
73,73,-6.5
74,74,-6.1
75,75,-5.5
76,76,-5.0
77,77,-4.6
78,78,-4.2
79,79,-3.9
80,80,-3.7
81,81,-3.6
82,82,-3.7
83,83,-3.7
84,84,-3.8
85,85,-3.7
86,86,-3.7
87,87,-3.6
88,88,-3.5
89,89,-3.4
90,90,-3.4
91,91,-3.3
92,92,-3.3
93,93,-3.2
94,94,-3.2
95,95,-3.1
96,96,-3.1
