startTime,endTime,energy
27,27,10.0
28,28,40.0
29,29,90.0
30,30,160.0
31,31,229.99999999999997
32,32,320.0
33,33,420.0
34,34,530.0
35,35,650.0
36,36,780.0
37,37,919.9999999999999
38,38,1060.0
39,39,1200.0
40,40,1350.0
41,41,1500.0
42,42,1650.0
43,43,1800.0
44,44,1950.0
45,45,2090.0
46,46,2220.0
47,47,2350.0
48,48,2470.0
49,49,2580.0
50,50,1680.0
50,95,1000.0
51,51,1770.0
51,95,1000.0
52,52,1850.0
52,95,1000.0
53,53,1910.0000000000002
53,95,1000.0
54,54,1960.0000000000002
54,95,1000.0
55,55,1989.9999999999998
55,95,1000.0
56,56,2020.0
56,95,1000.0
57,57,2020.0
57,95,1000.0
58,58,2010.0000000000002
58,95,1000.0
59,59,2990.0
60,60,2950.0
61,61,2900.0
62,62,2840.0
63,63,2760.0
64,64,2670.0
65,65,2570.0
66,66,2450.0
67,67,2330.0
68,68,2200.0
69,69,2070.0
70,70,1930.0
71,71,1780.0
72,72,1630.0
73,73,1480.0
74,74,1330.0
75,75,1180.0
76,76,1040.0
77,77,900.0
78,78,760.0
79,79,640.0
80,80,520.0
81,81,409.99999999999994
82,82,310.0
83,83,220.00000000000003
84,84,140.0
85,85,80.0
86,86,30.0
