startTime,endTime,energy
1,1,-2.938131513
2,2,-2.809456478
3,3,-2.809456478
4,4,-2.78098334
6,6,-4.665933665
7,7,-4.674936701
8,8,-3.353700305
9,9,-3.825092818
10,10,-3.989768258
11,11,-3.743212948
12,12,-4.445625082
13,13,-3.856418359
14,14,-3.685401312
15,15,-3.797428835
16,16,-2.721781722
18,18,-2.648784632
19,19,-3.223322336
20,20,-2.867098295
21,21,-4.23940033
22,22,-3.544595298
23,23,-4.297336561
24,24,-3.838209205
25,25,-5.813340409
27,27,-5.726337987
28,28,-5.961215417
29,29,-7.996465711
30,30,-8.192657135
31,31,-8.314593189
32,32,-8.263895878
33,33,-8.350478208
34,34,-8.744760407
35,35,-8.531419043
36,36,-9.596408827
37,37,-8.874159447
38,38,-9.20435208
39,39,-9.437407453
40,40,-9.700327089
41,41,-9.079004511
42,42,-9.250387092
43,43,-9.125298496
44,44,-8.916618873
45,45,-9.264414612
47,47,-9.003374833
48,48,-8.781396732
49,49,-8.862180493
50,50,-8.315231441
51,51,-8.322100891
52,52,-8.324328314
53,53,-8.223451531
54,54,-7.99206976
55,55,-8.133018583
56,56,-9.231604345
57,57,-7.920241137
58,58,-7.95771501
59,59,-8.613934792
60,60,-7.955447322
62,62,-8.705392003
63,63,-7.996284052
64,64,-8.983159421
65,65,-7.969595191
66,66,-9.215551705
67,67,-8.19599848
68,68,-9.417900161
69,69,-9.035837587
70,70,-8.611903633
72,72,-10.70801249
73,73,-10.55664886
74,74,-10.827145
75,75,-9.472570859
76,76,-9.68798217
77,77,-9.373137442
78,78,-9.99274567
79,79,-8.979132045
80,80,-10.19573945
81,81,-9.373262941
82,82,-9.235007391
83,83,-8.879553345
84,84,-8.873903404
85,85,-9.556942355
86,86,-9.030127401
87,87,-9.443379926
89,89,-8.731678732
90,90,-8.81364924
91,91,-8.683358057
92,92,-8.708108718
93,93,-7.599412877
94,94,-6.994398501
95,95,-6.562591164
96,96,-5.89948523
