# file...... outputs/current_output_3.csv
# date...... Fri May  3 12:31:31 2019
# user...... keegan
# host...... (null)
# trigger... (none)
# interval.. 60
# limit..... 0
# timestamp,branch_3_meter_1:measured_current_A,branch_1_meter_1:measured_current_B,branch_1_meter_1:measured_current_C,branch_1_meter_2:measured_current_A,branch_1_meter_2:measured_current_B,branch_1_meter_2:measured_current_C,branch_1_meter_3:measured_current_A,branch_1_meter_3:measured_current_B,branch_1_meter_3:measured_current_C,branch_1_meter_4:measured_current_A,branch_1_meter_4:measured_current_B,branch_1_meter_4:measured_current_C,branch_1_meter_5:measured_current_A,branch_1_meter_5:measured_current_B,branch_1_meter_5:measured_current_C
2013-07-01 08:00:00 PDT,+0+0j,-0.230771-0.338379j,+0.115908-0.200527j,+0.175229-0.0153169j,-0.151376-0.216166j,+0.115908-0.200527j,+0.175229-0.0153169j,-0.151376-0.216166j,+0.0869321-0.150394j,+0.175229-0.0153169j,-0.151376-0.216166j,+0.0579563-0.100261j,+0.175229-0.0153169j,-0.180321-0.266319j,+0.0579563-0.100261j
2013-07-01 08:01:00 PDT,+0+0j,-0.228215-0.333948j,+0.119324-0.206431j,+0.171818-0.0153187j,-0.148819-0.211735j,+0.119324-0.206431j,+0.171818-0.0153187j,-0.148819-0.211735j,+0.0894944-0.154822j,+0.171818-0.0153187j,-0.148819-0.211735j,+0.0596646-0.103213j,+0.171818-0.0153187j,-0.178617-0.263366j,+0.0596646-0.103213j
2013-07-01 08:02:00 PDT,+0+0j,-0.225596-0.329409j,+0.122823-0.212479j,+0.168324-0.0153206j,-0.1462-0.207196j,+0.122823-0.212479j,+0.168324-0.0153206j,-0.1462-0.207196j,+0.0921191-0.159358j,+0.168324-0.0153206j,-0.1462-0.207196j,+0.0614144-0.106237j,+0.168324-0.0153206j,-0.176871-0.26034j,+0.0614144-0.106237j
2013-07-01 08:03:00 PDT,+0+0j,-0.222916-0.324764j,+0.126405-0.218668j,+0.164748-0.0153226j,-0.143521-0.202551j,+0.126405-0.218668j,+0.164748-0.0153226j,-0.143521-0.202551j,+0.0948051-0.163999j,+0.164748-0.0153226j,-0.143521-0.202551j,+0.0632052-0.109331j,+0.164748-0.0153226j,-0.175084-0.257244j,+0.0632052-0.109331j
2013-07-01 08:04:00 PDT,+0+0j,-0.220176-0.320015j,+0.130067-0.224995j,+0.161092-0.0153248j,-0.140781-0.197802j,+0.130067-0.224995j,+0.161092-0.0153248j,-0.140781-0.197802j,+0.0975517-0.168745j,+0.161092-0.0153248j,-0.140781-0.197802j,+0.0650363-0.112495j,+0.161092-0.0153248j,-0.173257-0.254078j,+0.0650363-0.112495j
2013-07-01 08:05:00 PDT,+0+0j,-0.217377-0.315163j,+0.133808-0.231459j,+0.157357-0.0153271j,-0.137982-0.19295j,+0.133808-0.231459j,+0.157357-0.0153271j,-0.137982-0.19295j,+0.100358-0.173593j,+0.157357-0.0153271j,-0.137982-0.19295j,+0.0669071-0.115727j,+0.157357-0.0153271j,-0.171391-0.250843j,+0.0669071-0.115727j
2013-07-01 08:06:00 PDT,+0+0j,-0.21452-0.31021j,+0.137627-0.238058j,+0.153545-0.0153296j,-0.135125-0.187996j,+0.137627-0.238058j,+0.153545-0.0153296j,-0.135125-0.187996j,+0.103222-0.178542j,+0.153545-0.0153296j,-0.135125-0.187996j,+0.0688169-0.119026j,+0.153545-0.0153296j,-0.169486-0.247542j,+0.0688169-0.119026j
2013-07-01 08:07:00 PDT,+0+0j,-0.211606-0.305158j,+0.141523-0.244789j,+0.149656-0.0153322j,-0.132212-0.182944j,+0.141523-0.244789j,+0.149656-0.0153322j,-0.132212-0.182944j,+0.106144-0.18359j,+0.149656-0.0153322j,-0.132212-0.182944j,+0.0707651-0.122391j,+0.149656-0.0153322j,-0.167543-0.244174j,+0.0707651-0.122391j
2013-07-01 08:08:00 PDT,+0+0j,-0.208636-0.300008j,+0.145495-0.251649j,+0.145691-0.015335j,-0.129242-0.177794j,+0.145495-0.251649j,+0.145691-0.015335j,-0.129242-0.177794j,+0.109123-0.188735j,+0.145691-0.015335j,-0.129242-0.177794j,+0.072751-0.125821j,+0.145691-0.015335j,-0.165563-0.240741j,+0.072751-0.125821j
2013-07-01 08:09:00 PDT,+0+0j,-0.205611-0.294762j,+0.149541-0.258638j,+0.141653-0.0153379j,-0.126216-0.172548j,+0.149541-0.258638j,+0.141653-0.0153379j,-0.126216-0.172548j,+0.112157-0.193976j,+0.141653-0.0153379j,-0.126216-0.172548j,+0.074774-0.129315j,+0.141653-0.0153379j,-0.163545-0.237244j,+0.074774-0.129315j
2013-07-01 08:10:00 PDT,+0+0j,-0.212936-0.302592j,+0.153659-0.265751j,+0.145846-0.0165521j,-0.130941-0.177085j,+0.153659-0.265751j,+0.145846-0.0165521j,-0.130941-0.177085j,+0.115247-0.199311j,+0.145846-0.0165521j,-0.130941-0.177085j,+0.0768335-0.132872j,+0.145846-0.0165521j,-0.169296-0.243561j,+0.0768335-0.132872j
2013-07-01 08:11:00 PDT,+0+0j,-0.209803-0.297159j,+0.157849-0.272987j,+0.141664-0.0165553j,-0.127808-0.171652j,+0.157849-0.272987j,+0.141664-0.0165553j,-0.127808-0.171652j,+0.118389-0.204738j,+0.141664-0.0165553j,-0.127808-0.171652j,+0.0789287-0.13649j,+0.141664-0.0165553j,-0.167207-0.239939j,+0.0789287-0.13649j
2013-07-01 08:12:00 PDT,+0+0j,-0.206618-0.291636j,+0.16211-0.280345j,+0.137413-0.0165587j,-0.124623-0.166128j,+0.16211-0.280345j,+0.137413-0.0165587j,-0.124623-0.166128j,+0.121585-0.210257j,+0.137413-0.0165587j,-0.124623-0.166128j,+0.0810591-0.140169j,+0.137413-0.0165587j,-0.165084-0.236257j,+0.0810591-0.140169j
2013-07-01 08:13:00 PDT,+0+0j,-0.203382-0.286023j,+0.166439-0.287821j,+0.133093-0.0165623j,-0.121387-0.160515j,+0.166439-0.287821j,+0.133093-0.0165623j,-0.121387-0.160515j,+0.124832-0.215864j,+0.133093-0.0165623j,-0.121387-0.160515j,+0.083224-0.143906j,+0.133093-0.0165623j,-0.162926-0.232516j,+0.083224-0.143906j
