startTime,endTime,energy
0,0,-0.0
1,1,-0.0
2,2,-0.0
3,3,-0.0
4,4,-0.0
5,5,-0.0
6,6,-0.0
7,7,-0.0
8,8,-0.0
9,9,-0.0
10,10,-0.0
11,11,-0.0
12,12,-0.0
13,13,-0.0
14,14,-0.0
15,15,-0.0
16,16,-0.0
17,17,-0.0
18,18,-0.0
19,19,-0.0
20,20,-0.0
21,21,-0.0
22,22,-0.0
23,23,-0.0
24,24,0.0018776819175102
25,25,0.011348919021354667
26,26,0.02941662711130667
27,27,0.05827377206828001
28,28,0.10550740612172665
29,29,0.1654012293548667
30,30,0.2255613560951333
31,31,0.315635286404
32,32,0.5115668625460666
33,33,0.7507909204706
34,34,1.0351076115092668
35,35,1.3489149134786669
36,36,1.6750454097159997
37,37,1.9940085983040001
38,38,2.3006172340773334
39,39,2.593516980898
40,40,2.919724710912
41,41,3.252655401742667
42,42,3.507639084328667
43,43,3.670626979082666
44,44,3.538465781531333
45,45,3.208728968933333
46,46,3.000671041564
47,47,2.9486344476053326
48,48,3.3633244786666667
49,49,4.08799382786
50,50,4.665684572744
51,51,5.076285895264666
52,52,5.136283062856668
53,53,4.950143113714
54,54,4.787407070361334
55,55,4.650141820484667
56,56,4.558513860792666
57,57,4.497667122479333
58,58,4.434608459748001
59,59,4.367589926609334
60,60,4.326519635653334
61,61,4.283375369153333
62,62,4.186368856081999
63,63,4.039544729707334
64,64,3.829290997200667
65,65,3.579119732968667
66,66,3.323682974281333
67,67,3.063273046816667
68,68,2.815284294688667
69,69,2.564499735592
70,70,2.2862863757853336
71,71,1.9876138613793333
72,72,1.6769491321306667
73,73,1.3589237128973337
74,74,1.0417428957502668
75,75,0.7381148102471333
76,76,0.5061505880010667
77,77,0.4448885331899333
78,78,0.3945644762326666
79,79,0.3414801712585333
80,80,0.2746875639290667
81,81,0.20162147978960002
82,82,0.13976418124373333
83,83,0.08912551793809999
84,84,0.055275453052980004
85,85,0.034439317092360006
86,86,0.017739650390800003
87,87,0.005178395456548467
88,88,-0.0
89,89,-0.0
90,90,-0.0
91,91,-0.0
92,92,-0.0
93,93,-0.0
94,94,-0.0
95,95,-0.0
